date,rain_sum,snowfall_sum,wind_direction_10m_dominant,wind_speed_10m_max,temperature_2m_mean,surface_pressure_mean,soil_moisture_0_to_100cm_mean
2024-02-21 00:00:00+00:00,1.8999999,0.0,212.60135,22.91026,3.8750007,949.1655,0.39862213
2024-02-22 00:00:00+00:00,20.099998,0.0,197.90001,29.775719,4.6687503,932.9436,0.40475497
2024-02-23 00:00:00+00:00,6.8999996,1.75,203.40088,23.241617,4.735418,930.7143,0.41481128
2024-02-24 00:00:00+00:00,0.9999999,3.64,213.47208,23.051247,2.4708335,936.95215,0.4149717
2024-02-25 00:00:00+00:00,0.0,0.0,208.46335,17.10284,2.3437502,939.2109,0.4123813
2024-02-26 00:00:00+00:00,0.3,0.0,190.9504,20.12461,4.060417,937.3425,0.40926245
2024-02-27 00:00:00+00:00,0.5,0.0,120.46549,14.081477,5.020833,944.2399,0.40626466
2024-02-28 00:00:00+00:00,2.9999998,0.0,351.4341,11.792404,3.2291663,950.70734,0.40592837
2024-02-29 00:00:00+00:00,0.0,0.0,186.11058,23.857979,4.6958337,948.7202,0.4035796
2024-03-01 00:00:00+00:00,3.1,0.0,182.45784,27.112564,8.464583,940.87085,0.39801
2024-03-02 00:00:00+00:00,0.70000005,0.0,183.89023,21.96295,7.429167,940.7412,0.3967992
2024-03-03 00:00:00+00:00,0.70000005,0.0,170.19974,25.582806,6.964584,938.3819,0.39437044
2024-03-04 00:00:00+00:00,0.2,0.0,14.153495,14.587776,6.7687497,939.997,0.3913575
2024-03-05 00:00:00+00:00,1.1,0.0,20.407461,12.496719,3.0083332,945.8453,0.38902292
2024-03-06 00:00:00+00:00,0.8000001,0.14,11.327149,17.377226,2.1458335,952.17303,0.3871455
2024-03-07 00:00:00+00:00,0.8000001,0.7,43.976273,18.668005,-0.04583328,954.1291,0.38273588
2024-03-08 00:00:00+00:00,0.0,0.0,137.49794,15.124284,1.2624999,950.1357,0.37866545
2024-03-09 00:00:00+00:00,0.4,0.0,172.48291,31.154043,3.7270834,942.7143,0.37797666
2024-03-10 00:00:00+00:00,1.0,0.0,162.21465,30.385365,7.3875003,936.1495,0.37646878
2024-03-11 00:00:00+00:00,1.1,0.0,188.14977,20.275385,9.03125,937.51337,0.3732467
2024-03-12 00:00:00+00:00,1.9000002,0.0,336.99927,20.545246,6.19375,944.1191,0.37028423
2024-03-13 00:00:00+00:00,0.0,0.0,300.23843,9.726664,5.9374995,948.169,0.3678746
2024-03-14 00:00:00+00:00,0.0,0.0,210.96367,10.883676,5.0,947.3989,0.3665817
2024-03-15 00:00:00+00:00,0.1,0.0,210.11363,22.691423,8.5125,944.82715,0.36757836
2024-03-16 00:00:00+00:00,2.1000001,0.0,257.38693,22.473343,7.777083,947.14264,0.3667117
2024-03-17 00:00:00+00:00,0.0,0.0,319.124,20.46941,2.65625,952.79443,0.36336914
2024-03-18 00:00:00+00:00,0.0,0.0,23.803308,14.277983,-0.7833333,950.3538,0.36001292
2024-03-19 00:00:00+00:00,0.0,0.0,143.46121,9.826088,0.36249998,952.7041,0.35724333
2024-03-20 00:00:00+00:00,0.0,0.0,204.56299,10.028439,4.7,952.102,0.35331544
2024-03-21 00:00:00+00:00,1.4000001,0.0,263.01572,14.186923,7.4604163,950.9783,0.35146248
2024-03-22 00:00:00+00:00,1.7,0.0,222.75084,19.453327,7.410417,948.30743,0.3511938
2024-03-23 00:00:00+00:00,1.9000001,0.0,232.79942,34.44167,6.0,937.7343,0.34712753
2024-03-24 00:00:00+00:00,0.1,0.56,225.15361,24.514387,2.0562499,935.42456,0.34651423
2024-03-25 00:00:00+00:00,0.8,1.96,268.08212,17.673029,2.5104165,936.29803,0.3485383
2024-03-26 00:00:00+00:00,0.0,0.0,176.38231,33.151287,5.3458333,933.5113,0.34847498
2024-03-27 00:00:00+00:00,1.4000001,0.56,186.18752,38.921646,8.814583,925.66034,0.34961
2024-03-28 00:00:00+00:00,3.5999997,0.0,212.02168,32.839027,7.643749,925.9074,0.34912834
2024-03-29 00:00:00+00:00,0.0,0.0,197.25395,29.268686,8.304167,936.96924,0.34728417
2024-03-30 00:00:00+00:00,0.0,0.0,192.70895,24.33664,12.814583,936.4986,0.3370496
2024-03-31 00:00:00+00:00,0.0,0.0,200.19035,27.210379,12.693749,933.7358,0.32930997
2024-04-01 00:00:00+00:00,1.6000001,0.0,208.56064,31.614477,12.062499,931.30194,0.3250625
2024-04-02 00:00:00+00:00,0.4,0.0,265.28583,26.525429,7.875,937.665,0.32665008
2024-04-03 00:00:00+00:00,0.8000001,0.0,235.98544,22.545315,8.004166,941.3704,0.32533666
2024-04-04 00:00:00+00:00,3.4,0.0,221.54749,27.748037,9.170833,943.8746,0.32490376
2024-04-05 00:00:00+00:00,1.5,0.0,216.42996,23.979893,10.9020815,947.9787,0.32660544
2024-04-06 00:00:00+00:00,0.6,0.0,233.32932,15.978486,13.004167,950.1086,0.32740337
2024-04-07 00:00:00+00:00,0.0,0.0,206.81624,23.042812,16.59375,951.0524,0.31916702
2024-04-08 00:00:00+00:00,0.0,0.0,200.18707,27.66384,16.518751,947.5892,0.31507036
2024-04-09 00:00:00+00:00,0.0,0.0,221.26038,29.07989,16.064583,944.58984,0.30862328
2024-04-10 00:00:00+00:00,2.8999999,0.0,322.88553,28.165257,7.8145843,957.1953,0.3089554
2024-04-11 00:00:00+00:00,0.0,0.0,281.85666,7.42159,9.770833,963.3857,0.30919087
2024-04-12 00:00:00+00:00,0.0,0.0,235.5545,11.808878,11.514584,961.6055,0.3076726
2024-04-13 00:00:00+00:00,0.0,0.0,246.1123,18.218275,13.477084,956.95416,0.30326375
2024-04-14 00:00:00+00:00,0.1,0.0,265.63043,20.275383,13.520833,950.163,0.29955587
2024-04-15 00:00:00+00:00,1.7000002,0.0,225.78741,24.464113,8.849999,940.19904,0.2957617
2024-04-16 00:00:00+00:00,1.1,0.35000002,242.47235,25.189713,5.0125003,934.12555,0.29707414
2024-04-17 00:00:00+00:00,1.2,0.0,331.05133,21.175837,2.0687501,937.73224,0.30059963
2024-04-18 00:00:00+00:00,0.4,0.84,330.2884,21.603,1.3854166,943.70044,0.30230752
2024-04-19 00:00:00+00:00,2.6000001,0.14,221.371,29.598919,2.7125003,939.17236,0.29996878
2024-04-20 00:00:00+00:00,2.2,2.5199997,337.15854,26.795223,1.6520833,942.3897,0.30473834
2024-04-21 00:00:00+00:00,0.20000002,0.42000002,9.341586,19.734436,-0.23124997,950.47516,0.30469045
2024-04-22 00:00:00+00:00,0.0,0.28,357.91043,17.208603,0.09166672,952.0411,0.30242798
2024-04-23 00:00:00+00:00,0.0,0.0,52.81519,12.55879,1.9354166,948.31445,0.30016163
2024-04-24 00:00:00+00:00,1.1000001,0.0,323.53064,6.519877,2.8812501,938.65625,0.30042964
2024-04-25 00:00:00+00:00,0.5,0.0,216.69078,21.94524,2.1,938.14703,0.30061495
2024-04-26 00:00:00+00:00,0.0,0.0,197.51595,21.746502,5.7625003,941.6089,0.30012628
2024-04-27 00:00:00+00:00,0.0,0.0,189.50261,17.81909,10.179166,945.8604,0.29288536
2024-04-28 00:00:00+00:00,0.0,0.0,190.71959,24.64094,12.704169,948.77954,0.293863
2024-04-29 00:00:00+00:00,0.0,0.0,178.93303,19.245697,15.985415,954.45386,0.29004833
2024-04-30 00:00:00+00:00,0.0,0.0,178.3764,32.169178,16.699999,953.8138,0.28100297
2024-05-01 00:00:00+00:00,0.0,0.0,169.43515,30.684587,15.458331,947.2617,0.27276912
2024-05-02 00:00:00+00:00,0.4,0.0,164.40334,25.992397,14.975002,941.3718,0.26579002
2024-05-03 00:00:00+00:00,0.5,0.0,189.81923,22.148045,13.283333,943.6241,0.26034418
2024-05-04 00:00:00+00:00,1.9000001,0.0,357.06424,8.14587,13.935417,947.71234,0.25679544
2024-05-05 00:00:00+00:00,0.8000001,0.0,207.7029,23.47741,14.325001,943.8548,0.2571309
2024-05-06 00:00:00+00:00,4.1,0.0,260.4634,11.620809,12.145833,942.13385,0.25978795
2024-05-07 00:00:00+00:00,0.1,0.0,21.569946,18.532135,9.91875,948.108,0.25828674
2024-05-08 00:00:00+00:00,0.0,0.0,34.468853,17.31746,9.504165,954.8884,0.2561179
2024-05-09 00:00:00+00:00,0.0,0.0,4.467085,12.224107,10.445833,956.5227,0.25265792
2024-05-10 00:00:00+00:00,0.0,0.0,342.78027,13.324863,12.510417,954.85297,0.24745964
2024-05-11 00:00:00+00:00,1.4000002,0.0,350.99155,15.175612,12.866666,954.0611,0.24161583
2024-05-12 00:00:00+00:00,0.0,0.0,75.74053,15.542662,11.489585,953.95306,0.24151039
2024-05-13 00:00:00+00:00,0.0,0.0,151.0665,13.324863,12.825001,950.31537,0.23434006
2024-05-14 00:00:00+00:00,0.0,0.0,130.81499,14.587776,14.512501,947.58453,0.22247003
2024-05-15 00:00:00+00:00,0.0,0.0,136.16724,21.26744,14.925002,946.9385,0.21732293
2024-05-16 00:00:00+00:00,0.0,0.0,156.39767,28.277763,14.639584,946.5363,0.21438833
2024-05-17 00:00:00+00:00,1.9,0.0,140.39876,24.693481,12.718751,944.3569,0.2197438
2024-05-18 00:00:00+00:00,5.6,0.0,191.86432,26.836306,11.10625,944.9859,0.22480838
2024-05-19 00:00:00+00:00,0.3,0.0,210.59418,18.25026,13.587501,944.4804,0.22540297
2024-05-20 00:00:00+00:00,1.0,0.0,201.19171,14.986553,15.245834,945.5559,0.22784126
2024-05-21 00:00:00+00:00,0.70000005,0.0,118.650986,18.59845,17.827082,944.20465,0.22474581
2024-05-22 00:00:00+00:00,0.3,0.0,196.11797,25.809765,14.814586,942.37384,0.23109002
2024-05-23 00:00:00+00:00,0.6,0.0,311.75085,10.137692,14.33125,948.1878,0.23358582
2024-05-24 00:00:00+00:00,9.7,0.0,106.1444,13.237039,14.287499,951.14044,0.23741122
2024-05-25 00:00:00+00:00,0.2,0.0,191.03777,19.483284,15.272918,951.533,0.23940295
2024-05-26 00:00:00+00:00,1.9,0.0,188.21356,19.201874,16.5,953.0503,0.23546916
2024-05-27 00:00:00+00:00,0.5,0.0,183.06096,22.805367,16.920835,951.75116,0.23300499
2024-05-28 00:00:00+00:00,3.1999998,0.0,240.51753,20.456745,14.693751,949.72003,0.23380171
2024-05-29 00:00:00+00:00,0.0,0.0,211.71227,13.0447235,13.635415,947.5246,0.24065419
2024-05-30 00:00:00+00:00,0.2,0.0,200.43846,14.618837,15.5625,940.34326,0.23260581
2024-05-31 00:00:00+00:00,10.3,0.0,51.03,12.979984,15.364585,940.5923,0.23090793
2024-06-01 00:00:00+00:00,7.8,0.0,218.41805,10.08,13.333335,942.20654,0.23894708
2024-06-02 00:00:00+00:00,2.3999996,0.0,317.67917,17.84816,15.183334,946.66095,0.24719419
2024-06-03 00:00:00+00:00,1.1,0.0,337.4901,15.379206,13.927082,948.6201,0.24718167
2024-06-04 00:00:00+00:00,0.5,0.0,312.95453,15.646544,12.791667,947.2453,0.24522835
2024-06-05 00:00:00+00:00,0.3,0.0,221.53484,17.477621,15.772915,946.1575,0.2438042
2024-06-06 00:00:00+00:00,4.3,0.0,236.97612,17.654688,15.445836,949.6982,0.24102002
2024-06-07 00:00:00+00:00,0.5,0.0,280.67737,16.418526,15.370834,949.7969,0.24064587
2024-06-08 00:00:00+00:00,0.8,0.0,201.26459,18.161278,17.314583,946.23535,0.23469627
2024-06-09 00:00:00+00:00,0.70000005,0.0,311.17084,16.92383,16.468752,941.6653,0.22816743
2024-06-10 00:00:00+00:00,1.4000001,0.0,339.04056,11.874544,14.406253,939.4576,0.22191209
2024-06-11 00:00:00+00:00,0.2,0.0,267.3434,18.861387,12.772916,944.1611,0.21769996
2024-06-12 00:00:00+00:00,1.8000001,0.0,279.28845,12.096214,11.335416,949.7307,0.2186271
2024-06-13 00:00:00+00:00,2.5999997,0.0,299.78354,10.799999,10.741666,949.6548,0.22048251
2024-06-14 00:00:00+00:00,0.0,0.0,189.24019,15.646544,13.004166,947.94434,0.22140038
2024-06-15 00:00:00+00:00,1.6,0.0,203.83612,27.25559,15.710415,943.55597,0.21997912
2024-06-16 00:00:00+00:00,0.6,0.0,226.22278,12.599998,16.558332,945.5257,0.21678251
2024-06-17 00:00:00+00:00,0.7,0.0,212.43974,21.67786,17.908335,948.491,0.21232833
2024-06-18 00:00:00+00:00,0.4,0.0,202.96487,21.862406,20.143751,949.8877,0.20916831
2024-06-19 00:00:00+00:00,6.6,0.0,301.76514,18.792551,18.975,948.92474,0.20765041
2024-06-20 00:00:00+00:00,0.1,0.0,141.34013,12.074766,16.362497,954.90607,0.20650505
2024-06-21 00:00:00+00:00,1.4,0.0,197.17958,25.711662,20.55625,949.32684,0.20621872
2024-06-22 00:00:00+00:00,2.7999997,0.0,253.3154,24.063513,17.464584,945.8711,0.2106796
2024-06-23 00:00:00+00:00,0.0,0.0,325.1444,18.998316,16.385416,950.47437,0.20915498
2024-06-24 00:00:00+00:00,0.70000005,0.0,12.517473,13.854155,15.562501,953.17755,0.2064746
2024-06-25 00:00:00+00:00,0.0,0.0,88.11775,16.171976,17.914583,951.8086,0.20439672
